CARRIER|ORIGIN,PASSENGERS_Sum,PASSENGERS_Count,PASSENGERS_Mean,SEATS_Sum,SEATS_Count,SEATS_Mean,DEPARTURES_PERFORMED_Sum,DEPARTURES_PERFORMED_Count,DEPARTURES_PERFORMED_Mean
AA|ATL,169.000000,1,169.000000,172.000000,1,172.000000,1.000000,1,1.000000
AA|JFK,1440917.000000,331,4353.223565,1731486.000000,331,5231.075529,7247.000000,331,21.894260
AA|LAX,618388.000000,148,4178.297297,752602.000000,148,5085.148649,3193.000000,148,21.574324
AA|MIA,6315796.000000,1611,3920.419615,7472615.000000,1611,4638.494724,42647.000000,1611,26.472377
AA|ORD,806956.000000,211,3824.436019,945932.000000,211,4483.090047,4314.000000,211,20.445498
DL|ATL,5414244.000000,1205,4493.148548,6161564.000000,1205,5113.331120,29276.000000,1205,24.295436
DL|JFK,3124196.000000,680,4594.405882,3571638.000000,680,5252.408824,16014.000000,680,23.550000
DL|LAX,668719.000000,196,3411.831633,811711.000000,196,4141.382653,3534.000000,196,18.030612
DL|MIA,81619.000000,24,3400.791667,117291.000000,24,4887.125000,736.000000,24,30.666667
DL|ORD,247.000000,6,41.166667,605.000000,6,100.833333,6.000000,6,1.000000
UA|LAX,916528.000000,310,2956.541935,1146187.000000,310,3697.377419,5283.000000,310,17.041935
UA|MIA,575.000000,4,143.750000,674.000000,4,168.500000,4.000000,4,1.000000
UA|ORD,1971818.000000,644,3061.829193,2347759.000000,644,3645.588509,11260.000000,644,17.484472
